SUBJECT_EN,TERM_EN,TERM_EN_PARAMETER,ABBREVIATION_EN,ABBREVIATION_EN_PARAMETER,SYNONYMS_EN,SYNONYMS_EN_PARAMETERS,TEXTUAL_SUPPORT_1_EN,TEXTUAL_SUPPORT_2_EN,TEXTUAL_SUPPORT_3_EN,DOMAINE_FR,TERME_FR,TERME_FR_PARAMETRE,ABBREVIATION_FR,ABBREVIATION_FR_PARAMETRE,SYNONYMES_FR,SYNONYMES_FR_PARAMETRE,JUSTIFICATION_1_FR,JUSTIFICATION_2_FR,JUSTIFICATION_3_FR,UNIVERSAL_ENTRIES,DOM_SUBJ_ES,TERME_TERM_ES,TERME_TERM_PARAM_ES,ABBR_ES,ABBR_PARAM_ES,SYNO_ES,SYNO_PARAM_ES,JUST_TEXTSUPP_1_ES,JUST_TEXTSUPP_2_ES,JUST_TEXTSUPP_3_ES,DOM_SUBJ_PT,TERME_TERM_PT,TERME_TERM_PARAM_PT,ABBR_PT,ABBR_PARAM_PT,SYNO_PT,SYNO_PARAM_PT,JUST_TEXTSUPP_1_PT,JUST_TEXTSUPP_2_PT,JUST_TEXTSUPP_3_PT
Wrestling,"red uniform",,,,,,"OBS: Facilities/equipment.",,,Lutte,"maillot rouge","masculine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Installations/matériel.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,salute,noun,,,,,"OBS: Technique/tactics.",,,Lutte,salut,"masculine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Technique/tactique.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,breakdown,"correct,noun",,,,,"DEF: Any amateur wrestling manoeuvre by which a contestant in advantage position forces his opponent to the mat from a position on his hands and knees or from a bridge position.","DEF: The act or instance of breaking an opponent down.","OBS: Break down (verb): To force an opponent who is on the mat to his stomach or side by knocking or pulling his arm or leg support from under him.",Lutte,écrasement,"correct,see observation,masculine noun",,,,,"DEF: Action d'amener l'adversaire à plat sur le tapis.","OBS: On peut supposer le terme correct puisque «écraser le pont» signifie «peser sur la cage thoracique et le ventre de l'adversaire de façon à lui faire toucher les épaules».",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"leaving the mat",,,,,,,,,Lutte,"reculer hors du tapis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,behemoth,,,,,,,,,Lutte,lutteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,plant,verb,,,,,,,,Lutte,"mettre un pied à terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"stagger stance",,,,,,,,,Lutte,"garde en diagonale","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,round,correct,,,"round period of the bout",,,,,Lutte,période,"feminine noun",,,,,,,,,Lucha,ronda,"correct,feminine noun",,,vuelta,"correct,feminine noun",,,,,,,,,,,,,
Wrestling,"far Half Nelson",,,,,,,,,Lutte,"demi-Nelson éloigné","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"counter wrestling",,,,,,,,,Lutte,contre-attaque,"feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Newfoundland & Labrador Wrestling Association",correct,,,,,,,,Lutte,"Newfoundland & Labrador Wrestling Association","correct,feminine noun",,,,,"OBS: Appellation confirmée par l'organisme.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Saskatoon Boxing and Wrestling Commission",correct,,,,,"OBS: Organization which is established in Saskatoon, Saskatchewan.",,,Lutte,"Saskatoon Boxing and Wrestling Commission","correct,feminine noun",,,,,"OBS: Organisme établi à Saskatoon (Saskatchewan).",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"blue corner",correct,,,,,"OBS: Rules/refereeing.",,,Lutte,"coin bleu","correct,masculine noun",,,,,"OBS: Règlement/arbitrage.",,,,Lucha,"rincón azul",correct,,,,,,,,,,,,,,,,,
Wrestling,"paddle in the same colour as the wrestler concerned",,,,,,"OBS: Rules/refereeing.",,,Lutte,"palette de la couleur du lutteur concerné","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"grasp the legs of the opponent",,,,,,"OBS: Technique/tactics.",,,Lutte,"saisir les jambes de l'adversaire",,,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Technique/tactique.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,lightweight,correct,,,light,correct,"OBS: Boxing: 57-60 kg.","OBS: Wrestling: 68 kg.",,Lutte,"poids léger","correct,masculine noun",,,,,"OBS: Boxe : 57-60 kg.","OBS: Lutte et catch : 68 kg.",,,Lucha,"peso ligero","correct,masculine noun",,,ligero,"correct,masculine noun",,,,,,,,,,,,,
Wrestling,match,"correct,noun",,,"bout;wrestling match;wrestling bout",correct,,,,Lutte,"combat de lutte","correct,masculine noun",,,"partie de lutte;assaut","feminine noun;masculine noun",,,,,Lucha,combate,"correct,masculine noun",,,lucha,"correct,feminine noun",,,,Luta,"combate de luta livre","correct,masculine noun",,,combate;luta,"correct,masculine noun;correct,feminine noun",,,
Wrestling,"arm drag",,,,,,,,,Lutte,"arrachement des bras","masculine noun",,,"tirage de bras","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"double gripping",,,,,,,,,Lutte,"double prise",,,,,,"OBS: Langen;lutte;127cp/12.74.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"ring floor",,,,,,,,,Lutte,matelas,"masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,armlock,,,,,,,,,Lutte,"clef de bras","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"instantaneous fall",,,,,,,,,Lutte,"tomber instantané","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"pairing form",,,,"pairing sheet",,,,,Lutte,"feuille d'appariement","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"spin behind",,,,,,,,,Lutte,"passage arrière","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Boxing and Wrestling Commission Regulation","correct,Manitoba",,,,,"OBS: Pursuant to The Boxing and Wrestling Commission Act.",,,Lutte,"Règlement sur la Commission de la boxe et de la lutte","correct,masculine noun,Manitoba",,,,,"OBS: En vertu de la Loi sur la Commission de la boxe et de la lutte.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,headlock,"correct,noun",,,"head lock","correct,noun","DEF: A hold in which a person's head is held between the body and arm of his opponent.",,,Lutte,"prise de tête","correct,feminine noun",,,"collier de force","masculine noun","DEF: À la lutte, prise par laquelle un lutteur encercle d'un bras, la tête de son adversaire.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,out,correct,,,out!,correct,,,,Lutte,"out !","correct,anglicism",,,,,,,,,Lucha,fuera,correct,,,,,,,,,,,,,,,,,
Wrestling,"allocation of the points",,,,,,"OBS: Rules/refereeing.",,,Lutte,"attribution des points","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"oral warning",,,,,,"OBS: Rules/refereeing.",,,Lutte,"avertissement verbal","masculine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"freestyle wrestling",correct,,,"free-style wrestling",correct,"CONT: In freestyle wrestling, wrestlers can also use their legs and hold their opponents above or below the waist.",,,Lutte,"lutte libre","correct,feminine noun",,,,,"CONT: En lutte libre, les lutteurs peuvent se servir de leurs jambes et saisir l'adversaire au-dessus comme en dessous de la ceinture.",,,,Lucha,"lucha libre","correct,feminine noun",,,"lucha libre olímpica","correct,feminine noun","CONT: Ambos estilos de lucha (grecorromana y libre) se diferencian principalmente por el uso de las piernas. En lucha grecorromana, los contendientes deben aplicar todas las presas y agarres por encima de la cintura, no permitiéndose el  uso de las piernas para puntuar o defenderse. Por el contrario, en el estilo de libre olímpica las piernas son un elemento más de ataque y defensa.",,,Luta,"luta livre","correct,feminine noun",,,"luta olímpica estilo livre;luta livre olímpica","correct,feminine noun;correct,feminine noun","OBS: A modalidade de lutas olímpicas é dividida em duas vertentes: estilo livre e greco-romana. A diferença entre as duas, porém, é muito simples de ser entendida. Os praticantes de greco-romana não podem utilizar as pernas para aplicar os golpes, enquanto o estilo livre permite o uso dos membros inferiores.",,
Wrestling,knee-drop,,,,,,,,,Lutte,"coup de genou","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,rope,correct,,,,,"DEF: One of the three cords stretched one above the other at intervals of about 18 inches that mark off a boxing or wrestling ring.",,,Lutte,corde,correct,,,,,"DEF: Grosses cordes tendues qui délimitent l'enceinte d'un ring.","OBS: Le terme en vedette est au pluriel dans la source.",,,Lucha,cuerda,"correct,feminine noun",,,,,,,,,,,,,,,,,
Wrestling,"standing hold",,,,,,,,,Lutte,"prise debout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"arm wrestling","correct,see observation,noun",,,"Indian wrestling;arm-wrestling","correct,noun;correct,see observation,noun","DEF: A form of wrestling in which two opponents, usually facing each other across a table, rest their right or left elbows on the table and, placing their corresponding forearms upward and parallel, grip each other's hand, the object being to force the opponent's hand down so that it touches the table.","OBS: Both hyphenated and unhyphenated forms are found in reliable sources.",,Lutte,bras-de-fer,"correct,see observation,masculine noun,Europe",,,"bras de fer;tir au poignet","correct,see observation,masculine noun,Europe;correct,see observation,masculine noun,Quebec","DEF: Jeu de force où les deux partenaires face à face, les mains empoignées, les coudes appuyés sur une table, cherchent à renverser le bras de l'adversaire.","CONT: Jouer au bras-de-fer. Se faire battre au bras-de-fer.","OBS: «Tir au poignet» est l'expression en usage au Québec pour désigner ce jeu.",,,,,,,,,,,,,,,,,,,,,
Wrestling,"weighing out",,,,,,,,,Lutte,repesage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"cautioning out",,,,,,,,,Lutte,"par disqualification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,grapple,verb,,,,,,,,Lutte,accrocher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,do-jime,correct,,,"leg scissors","correct,plural","DEF: JUDO. A choking technique prohibited in judo, whereby judo players lock their feet and squeeze their legs around the head and neck or trunk and ribs of their opponent.",,,Lutte,do-jime,"correct,see observation",,,"ciseau de jambes;croisé de cheville","correct,masculine noun;masculine noun","DEF: JUDO. Technique d'étranglement interdite par laquelle le combattant entoure avec ses pieds la tête et le cou de son adversaire (ou encore, le torse et les côtes) en les serrant étroitement.","OBS: Généralement, la plupart des termes japonais en judo s'emploient au masculin, mais il y a des exceptions.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"win by fall",noun,,,,,,,,Lutte,"victoire par tomber","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"straight bridge",,,,,,,,,Lutte,"pont rigide","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"turk ride",,,,,,,,,Lutte,"liane à rebours","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"wrestling boots",,,,,,"OBS: Facilities/equipment.",,,Lutte,"chaussures de lutte","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Installations/matériel.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"announcing the result of the match",,,,,,"OBS: Rules/refereeing.",,,Lutte,"annonce du résultat du match","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.","OBS: Pluriel : des matchs ou des matches.",,,,,,,,,,,,,,,,,,,,,
Wrestling,"intentionally leaving the mat",,,,,,"OBS: Rules/refereeing.",,,Lutte,"fuite volontaire en dehors du tapis","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"technical superiority",correct,,,,,"OBS: Technique/tactics.",,,Lutte,"supériorité technique","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Technique/tactique.",,,Lucha,"superioridad técnica","correct,feminine noun",,,,,,,,,,,,,,,,,
Wrestling,"double wrist lock",,,,,,,,,Lutte,"clé de bras","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"blow on the back of the neck",correct,,,"blow on the back;rabbit punch",,,,,Lutte,"coup à la nuque","correct,masculine noun",,,"coup sur la nuque;coup de poing sur la nuque","masculine noun;masculine noun",,,,,Lucha,"golpe a la nuca","correct,masculine noun",,,,,,,,,,,,,,,,,
Wrestling,leglock,,,,,,,,,Lutte,"passement de pied","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"reverse shoulder stand",,,,,,,,,Lutte,"retournement d'épaule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"standard head lock with arm",,,,,,,,,Lutte,"prise de tête ordinaire avec un bras","feminine noun",,,,,"OBS: défense au sol.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"figure 4 leg lock",correct,,,"figure four leg lock","proposal,correct","OBS: The term """"leg lock"""" is translated by """"crochet de jambe"""" in Lexique de la lutte prepared by l'Office de la langue française.",,,Lutte,"crochet de jambe en forme de 4","correct,proposal,masculine noun",,,"crochet de jambe en forme de quatre","correct,proposal,masculine noun","OBS: Le terme «leg lock» se rend par «crochet de jambe» en français dans le Lexique de la lutte de l'Office de la langue française.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"International Rules of Wrestling","correct,international",,,,,"OBS: Published by FILA.",,,Lutte,"Règles internationales de lutte","correct,feminine noun,plural,international",,,,,"OBS: Publié pa la FILA.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,bantamweight,,,,,,"OBS: 3rd category: 57 kg",,,Lutte,"poids coq","masculine noun",,,,,"OBS: 3e catégorie : 57 kg",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,block,noun,,,,,,,,Lutte,blocage,"masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,sumo,"correct,noun",,,,,"DEF: A Japanese form of wrestling in which a contestant loses the match if he is forced out of the ring or if any part of his body except his feet touches the ground.",,,Lutte,sumo,"correct,masculine noun",,,,,"DEF: Sorte de lutte japonaise.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"high crotch single",,,,,,,,,Lutte,"contrôle dans l'enfourchement","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Prince George Boxing and Wrestling Commission","correct,British Columbia",,,,,"OBS: Organization which is established in Prince George, British Columbia.",,,Lutte,"Prince George Boxing and Wrestling Commission","correct,feminine noun,British Columbia",,,,,"OBS: Organisme établi à Prince George (Colombie-Britannique).",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"walk over","correct,noun",,,walkover,noun,"OBS: walk over: term used for boxing, wrestling, taekwondo and sports in general.",,,Lutte,"match perdu par défaut","masculine noun",,,forfait,"masculine noun","OBS: Pluriel : des matchs ou des matches.","OBS: matchs (pl.) : Cette graphie, puisée des Rectifications de l'orthographe recommandées par le Conseil supérieur de la langue française, est attestée dans le Petit Robert (2004).",,,Lucha,abandono,"correct,masculine noun",,,"no presentación","correct,feminine noun","OBS: """"Abandono"""" se encuentra para la lucha y los deportes en general y """"no presentación"""" para el boxeo, la lucha y el taekwondo.",,,,,,,,,,,,
Wrestling,"shark bait",,,,,,,,,Lutte,"appât du requin","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"categorization of holds",,,,,,"OBS: Rules/refereeing.",,,Lutte,"classification des prises","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"passive wrestling",,,,,,"OBS: Technique/tactics.",,,Lutte,"lutte passive","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Technique/tactique.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,consultation,correct,,,,,,,,Lutte,consultation,"feminine noun",,,,,,,,,Lucha,consulta,"correct,feminine noun",,,,,,,,,,,,,,,,,
Wrestling,heavyweight,correct,,,heavy,correct,"OBS: Boxing: 81-91 kg.","OBS: Wrestling: 100 kg.",,Lutte,"poids lourd","correct,masculine noun",,,,,"OBS: Boxe : 81-91 kg.","OBS: Lutte et catch : 100 kg.",,,Lucha,"peso pesado","correct,masculine noun",,,pesado;completo,"correct,masculine noun;correct,masculine noun",,,,,,,,,,,,,
Wrestling,"arm wrestle","correct,verb",,,"Indian wrestle;arm-wrestle;indian-wrestle","correct,see observation,verb;verb;verb","DEF: To take part in a contest in which two opponents sit face to face and, gripping each other's hand, palm into palm with the elbow resting on a flat surface, try to force each other's arm down without raising the elbow from the table.","CONT: Joe Frazier squeezed into a booth at his Philadelphia rib restaurant ... and propped his once-fabled left on the table. """"C'mon,"""" he said to his nephew Rodney, an amateur heavy weight who is undefeated in three bouts. It was an invitation to arm-wrestle.","OBS: Arm wrestling is also called """"Indian wrestling"""".",Lutte,"tirer au poignet","correct,Quebec",,,"tirer du poignet;jouer au bras de fer;jouer au bras-de-fer;se livrer à une partie de bras de fer;faire une partie de bras de fer","correct,Quebec;correct,see observation,Europe;correct,see observation,Europe","DEF: Participer à un genre de lutte où les concurrents essaient de s'abattre mutuellement la main sur une table en s'appuyant coude à coude sur cette table, et en s'empoignant la main droite paume contre paume. Celui qui, sans relever le coude, couche sur la table l'avant-bras de son adversaire est déclaré vainqueur.","OBS: Une partie de bras de fer, une épreuve de force.","OBS: Des sources françaises fiables donnent «bras de fer» avec ou sans traits d'union; l'expression québécoise «tir au poignet» s'écrit sans trait d'union.",,,,,,,,,,,,,,,,,,,,,
Wrestling,"free-style wrestling competition",,,,"free style competition;free-style competition",,,,,Lutte,"épreuve de lutte libre","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"wrist butlock",,,,,,,,,Lutte,"prise arrière",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,pairing,,,,,,,,,Lutte,appariement,"masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,post,noun,,,,,,,,Lutte,calage,"masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"single leg",,,,,,,,,Lutte,"ramassement d'une jambe simple","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,set-ups,noun,,,,,,,,Lutte,"gestes préparatoires","masculine noun",,,,,"OBS: feintes",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"duck under",,,,,,,,,Lutte,"passage sous un bras","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Boxing and Wrestling Commission Act","correct,Manitoba",,,,,,,,Lutte,"Loi sur la Commission de la boxe et de la lutte","correct,feminine noun,Manitoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"recording the points",,,,,,"OBS: Rules/refereeing.",,,Lutte,"marquage des points","masculine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"grasp the opponent below the hips",verb,,,,,"OBS: Technique/tactics.",,,Lutte,"saisir l'adversaire en dessous de la hanche",,,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Technique/tactique.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Manitoba Arm Wrestling Association",correct,MAWA,correct,,,,,,Lutte,"Manitoba Arm Wrestling Association",correct,MAWA,correct,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,nelson,,,,,,,,,Lutte,"double prise de tête à terre","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"ground position",,,,"defence position",,,,,Lutte,"position par terre","feminine noun",,,"position à terre;position au sol","feminine noun;feminine noun",,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"high bridge",,,,,,,,,Lutte,"pont haut","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"high crotch",,,,,,,,,Lutte,"ramassement dans l'enfourchement","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,pinning,,,,,,,,,Lutte,plaquer,"masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"leg hold",correct,,,"leg ride",,"DEF: While wrestling, a grip of an opponent's leg to make him fall on the mat.",,,Lutte,"prise de jambe","correct,feminine noun",,,,,"DEF: En luttant, saisie de la jambe d'un adversaire pour le faire chuter au tapis.","CONT: Lutte gréco-latine [...] Les prises ne sont autorisées que de la tête à la ceinture; les prises de jambes avec les bras sont interdites.",,,Lucha,"presa de pierna",,,,,,,,,,,,,,,,,,
Wrestling,"shake hands",verb,,,,,"OBS: Technique/tactics.",,,Lutte,"se serrer la main",,,,,,"OBS: Technique/tactique.","OBS: Terme de lutte gréco-romaine.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"weighing-in list",,,,,,"OBS: Rules/refereeing.",,,Lutte,"liste de pesage","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"counter a hold",,,,"parry a grip",verb,,,,Lutte,"parer une prise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,cross-buttock,,,,,,,,,Lutte,ceinture-arrière,"feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,sit-back,,,,,,,,,Lutte,chute,,,,,,"OBS: Langen,lutte,127cp/12.74.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,stranglehold,correct,,,,,"DEF: A wrestling hold that would choke one's opponent.","CONT: Sam got a stranglehold on the attacker during the struggle.",,Lutte,"prise de gorge",,,,étranglement,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"opponent on the hip",,,,,,,,,Lutte,"adversaire chargé sur notre hanche",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,sambo,correct,,,Sambo,,"DEF: Self-defense without weapons. An international style of wrestling employing judo techniques.",,,Lutte,"style Sambo","masculine noun",,,sambo,"proposal,masculine noun",,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"action wrestler",,,,,,"OBS: offense",,,Lutte,"lutter en action",,,,,,"OBS: offensif",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"hip toss",,,,,,,,,Lutte,"tour de hanche en tête","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"hold in ground position",noun,,,,,,,,Lutte,"prise par terre","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"leg hook",,,,,,,,,Lutte,"entrée en crochet","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"momentary bridge",,,,,,,,,Lutte,"passage en pont","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,scrimmage,noun,,,,,,,,Lutte,assaut,"masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,weigh-in,correct,,,,,,,,Lutte,pesée,"feminine noun",,,,,,,,,Lucha,pesaje,"correct,masculine noun",,,,,,,,,,,,,,,,,
Wrestling,"red corner",correct,,,,,"OBS: Rules/refereeing.",,,Lutte,"coin rouge","correct,masculine noun",,,,,"OBS: Règlement/arbitrage.",,,,Lucha,"rincón rojo","correct,masculine noun",,,,,,,,,,,,,,,,,
Wrestling,roughness,,,,,,"OBS: Technique/tactics.",,,Lutte,brutalité,"feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Technique/tactique.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"crouching position",,,,,,"OBS: Technique/tactics.",,,Lutte,"garde debout basse","feminine noun",,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Technique/tactique.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"New Brunswick Amateur Wrestling Association",,,,,,,,,Lutte,"Association de lutte amateur du Nouveau-Brunswick","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Pan American Council of Associated Wrestling",correct,CPLA,correct,,,,,,Lutte,"Pan American Council of Associated Wrestling",correct,CPLA,correct,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,palestra,correct,,,palaestra,correct,"DEF: A large square or rectangular space, open to the air, surrounded by porticos held up by rows of columns.","CONT: palaestra - in its widest sense indicates a gymnasium, in a more restricted meaning it designates that section which is reserved for physical education.","OBS: Such structures were used for athletic training and wrestling.",Lutte,palestre,"correct,feminine noun",,,,,"DEF: Espace ouvert sous une colonnade du gymnase servant à l'entraînement des lutteurs.","CONT: La palestre comprenait le plus souvent une cour centrale au sol recouvert de sable fin, entourée par des vestiaires.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"ground hold",,,,"hold in ground position",noun,,,,Lutte,"prise au sol","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"double hold",,,,,,,,,Lutte,"prise double","feminine noun",,,"saisie double","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,cupping,,,,,,,,,Lutte,"mains en cuillère","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,waist-hold,,,,waist-lock,,,,,Lutte,"ceinture avant","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Canadian Amateur Tug of War Association Inc.",,,,,,"OBS: Hampton.",,,Lutte,"Canadian Amateur Tug of War Association Inc.",,,,,,"OBS: Hampton.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"Canadian Armwrestling Federation",,,,,,"OBS: Prince Albert.",,,Lutte,"Canadian Armwrestling Federation",,,,,,"OBS: Prince Albert.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"body slam",correct,,,,,"DEF: Wrestling. Illegal maneuver in which competitor is lifted and thrown to the mat.",,,Lutte,"projection illégale au tapis","proposal,feminine noun",,,,,"DEF: À la lutte, façon illégale de soulever son adversaire pour le lancer au tapis.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,continue!,,,,,,"OBS: Rules/refereeing.",,,Lutte,"continuez !",,,,,,"OBS: Terme de lutte gréco-romaine.","OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,
Wrestling,"half Nelson pin escape",,,,,,,,,Lutte,"dégagement d'immobilisation par nelson","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,stagger,"correct,verb",,,,,"OBS: """"stagger"""" is intransitive.",,,Lutte,chanceler,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,flyweight,,,,,,"OBS: Second category: 52 kg.",,,Lutte,"poids mouche","masculine noun",,,,,"OBS: 2e catégorie - 52 kg.",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"heels lifting",,,,,,,,,Lutte,"arrachement des talons","masculine noun",,,,,"OBS: (Terminologie sportive russe)",,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"crawl position",,,,,,,,,Lutte,"position quadrupédie","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,"halfspeed wrestling",,,,,,,,,Lutte,"lutte en opposition","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestling,paddle,noun,,,,,,,,Lutte,palette,"feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
